commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
On fonctionne toujours avec des câbles en cuivre;,On fonctionne toujours avec des câbles en cuivre,On fonctionne toujours avec des câbles en cuivre,fonctionner câble cuivre,fonctionne câbles cuivre,positif,
"Et nous les abonnés 4G LTE, pourquoi nous donner seulement 512 Ko ? Occupez-vous de nous aussi;","Et nous les abonnés 4G LTE, pourquoi nous donner seulement 512 Ko ? Occupez-vous de nous aussi","Et nous les abonnés 4G LTE, pourquoi nous donner seulement 512 Ko ? Occupez-vous de nous aussi",abonné 4 gramme lte donner 512 ko occuper vous,abonnés 4 g lte donner 512 ko occupez -vous,négatif,problème réseau
Quand aura lieu la généralisation de la fibre optique ?;,Quand aura lieu la généralisation de la fibre optique ?,Quand aura lieu la généralisation de la fibre optique ?,lieu généralisation fibre optique,lieu généralisation fibre optique,positif,
Quand allez-vous l’installer à Oued Rhiou ?;,Quand allez-vous l’installer à Oued Rhiou ?,Quand allez-vous l’installer à Oued Rhiou ?,aller vous installer oued rhiou,allez -vous installer oued rhiou,positif,
"Grons, Chéraga, Sidi Hassan, les travaux sont arrêtés. Pourquoi avoir creusé puis stoppé ?;","Grons, Chéraga, Sidi Hassan, les travaux sont arrêtés. Pourquoi avoir creusé puis stoppé ?","Grons, Chéraga, Sidi Hassan, les travaux sont arrêtés. Pourquoi avoir creusé puis stoppé ?",grons chéraga sidi hassan travail arrêter creuser stoppé,grons chéraga sidi hassan travaux arrêtés creusé stoppé,négatif,infrastructure
"Pas de problème, installez-nous la fibre d’abord et ensuite on prendra l’offre 1000;","Pas de problème, installez-nous la fibre d’abord et ensuite on prendra l’offre 1000","Pas de problème, installez-nous la fibre d’abord et ensuite on prendra l’offre 1000",problème installer nous fibre ensuite prendre offrir 1000,problème installez -nous fibre ensuite prendra offre 1000,positif,
On souffre vraiment avec l’ADSL;,On souffre vraiment avec l’ADSL,On souffre vraiment avec l’ADSL,souffrir vraiment adsl,souffre vraiment adsl,négatif,problème réseau
"Internet est coupé depuis jeudi. Y a-t-il une solution ? On est fatigués de payer pour rien et se faire humilier à Douar El Ouinat. Tu vas au service technique, ils te disent que ce n’est pas leur problème. On ne comprend pas où est le souci;","Internet est coupé depuis jeudi. Y a-t-il une solution ? On est fatigués de payer pour rien et se faire humilier à Douar El Ouinat. Tu vas au service technique, ils te disent que ce n’est pas leur problème. On ne comprend pas où est le souci","Internet est coupé depuis jeudi. Y a-t-il une solution ? On est fatigués de payer pour rien et se faire humilier à Douar El Ouinat. Tu vas au service technique, ils te disent que ce n’est pas leur problème. On ne comprend pas où est le souci",internet couper jeudi -t il solution fatiguer payer rien faire humilier douar el ouinat service technique dire problème comprendre souci,internet coupé jeudi -t -il solution fatigués payer rien faire humilier douar el ouinat service technique disent problème comprend souci,négatif,problème réseau
"Installez-nous la fibre d’abord, ensuite ce sera plus simple, même s’il y a beaucoup de monde, pas grave;","Installez-nous la fibre d’abord, ensuite ce sera plus simple, même s’il y a beaucoup de monde, pas grave","Installez-nous la fibre d’abord, ensuite ce sera plus simple, même s’il y a beaucoup de monde, pas grave",installer nous fibre ensuite simple beaucoup monde grave,installez -nous fibre ensuite simple beaucoup monde grave,positif,
"Le débit est très instable malheureusement… Je paie pour 20 mégas… et en vérifiant, je ne dépasse pas les 15 mégas…;","Le débit est très instable malheureusement… Je paie pour 20 mégas… et en vérifiant, je ne dépasse pas les 15 mégas…","Le débit est très instable malheureusement… Je paie pour 20 mégas… et en vérifiant, je ne dépasse pas les 15 mégas…",débit instable malheureusement payer 20 méga vérifiant dépasser 15 méga-octet,débit instable malheureusement paie 20 mégas vérifiant dépasse 15 mégas,négatif,problème réseau
"Cette vitesse on ne la voit que dans vos publications ici, elle ne nous est toujours pas parvenue;","Cette vitesse on ne la voit que dans vos publications ici, elle ne nous est toujours pas parvenue","Cette vitesse on ne la voit que dans vos publications ici, elle ne nous est toujours pas parvenue",vitesse voit publication ici parvenir,vitesse voit publications ici parvenue,neutre,
Je vous demande : j’ai pris une avance de 4 jours d’Internet;,Je vous demande : j’ai pris une avance de 4 jours d’Internet,Je vous demande : j’ai pris une avance de 4 jours d’Internet,demande prendre avance 4 jour internet,demande pris avance 4 jours internet,positif,
"Nous sommes toujours avec les câbles en cuivre, quand allez-vous installer la fibre ? On paie de notre poche, vous nous avez épuisés, mon Dieu !;","Nous sommes toujours avec les câbles en cuivre, quand allez-vous installer la fibre ? On paie de notre poche, vous nous avez épuisés, mon Dieu !","Nous sommes toujours avec les câbles en cuivre, quand allez-vous installer la fibre ? On paie de notre poche, vous nous avez épuisés, mon Dieu !",être câble cuivre aller vous installer fibre payer poche avoir épuiser dieu,sommes câbles cuivre allez -vous installer fibre paie poche avez épuisés dieu,négatif,problème réseau
Question concernant les nouveaux tarifs d'abonnement : pourquoi ne concernent-ils pas les abonnés sous l'accord des travailleurs de l'éducation ?;,Question concernant les nouveaux tarifs d'abonnement : pourquoi ne concernent-ils pas les abonnés sous l'accord des travailleurs de l'éducation ?,Question concernant les nouveaux tarifs d'abonnement : pourquoi ne concernent-ils pas les abonnés sous l'accord des travailleurs de l'éducation ?,question nouveau tarif abonnemer concerner il abonné accord travailleur éducation,question nouveaux tarifs abonnement concernent -ils abonnés accord travailleurs éducation,neutre,
Je paie avec mais je n’ai jamais reçu de bonus;,Je paie avec mais je n’ai jamais reçu de bonus,Je paie avec mais je n’ai jamais reçu de bonus,payer jamais recevoir bonus,paie jamais reçu bonus,négatif,facturation
Pourquoi l'application My Idoom ne fonctionne plus ?;,Pourquoi l'application My Idoom ne fonctionne plus ?,Pourquoi l'application My Idoom ne fonctionne plus ?,application my idoom fonctionner,application my idoom fonctionne,négatif,problème réseau
"Paiement électronique et la connexion, que Dieu nous vienne en aide;","Paiement électronique et la connexion, que Dieu nous vienne en aide","Paiement électronique et la connexion, que Dieu nous vienne en aide",paiement électronique connexion dieu venir aide,paiement électronique connexion dieu vienne aide,positif,
"Toujours le même problème, jamais de jours ou de minutes en plus. Je vous contacte toujours en privé, merci pour la rapidité, mais jusqu’à quand ? Ne me dites pas de vous écrire en privé, je ne le ferai plus. Merci.;","Toujours le même problème, jamais de jours ou de minutes en plus. Je vous contacte toujours en privé, merci pour la rapidité, mais jusqu’à quand ? Ne me dites pas de vous écrire en privé, je ne le ferai plus. Merci.","Toujours le même problème, jamais de jours ou de minutes en plus. Je vous contacte toujours en privé, merci pour la rapidité, mais jusqu’à quand ? Ne me dites pas de vous écrire en privé, je ne le ferai plus. Merci.",problème jamais jour minute contacter privé rapidité jusqu’ dire écrir privé ferai,problème jamais jours minutes contacte privé rapidité jusqu’ dites écrire privé ferai,neutre,
Je paie 2800 DA et il me reste 50 Mo seulement;,Je paie 2800 DA et il me reste 50 Mo seulement,Je paie 2800 DA et il me reste 50 Mo seulement,payer 2800 50 mo,paie 2800 50 mo,positif,
"On n’a rien vu, pour 1500 DA ils m’ont donné 150 Go, à peine on les finit;","On n’a rien vu, pour 1500 DA ils m’ont donné 150 Go, à peine on les finit","On n’a rien vu, pour 1500 DA ils m’ont donné 150 Go, à peine on les finit",rien 1500 donner 150 go peine finit,rien 1500 donné 150 go peine finit,négatif,facturation
Jamais eu le bonus;,Jamais eu le bonus,Jamais eu le bonus,jamais bonus,jamais bonus,négatif,offres commerciales
"Pourquoi la quantité d’Internet ne devient-elle pas illimitée comme l’ADSL, avec un paiement mensuel ? Pourquoi faut-il toujours consommer comme une scie qui monte et descend ?;","Pourquoi la quantité d’Internet ne devient-elle pas illimitée comme l’ADSL, avec un paiement mensuel ? Pourquoi faut-il toujours consommer comme une scie qui monte et descend ?","Pourquoi la quantité d’Internet ne devient-elle pas illimitée comme l’ADSL, avec un paiement mensuel ? Pourquoi faut-il toujours consommer comme une scie qui monte et descend ?",quantité internet devenir lui illimiter adsl paiement mensuel falloir il consommer scie mont descend,quantité internet devient -elle illimitée adsl paiement mensuel faut -il consommer scie monte descend,négatif,problème réseau
"Au contraire, j’ai payé aujourd’hui avec la carte Edahabia et je n’ai même pas eu mon droit. Même pour 2200 DA ils ne donnent que 26 jours, pourquoi ?;","Au contraire, j’ai payé aujourd’hui avec la carte Edahabia et je n’ai même pas eu mon droit. Même pour 2200 DA ils ne donnent que 26 jours, pourquoi ?","Au contraire, j’ai payé aujourd’hui avec la carte Edahabia et je n’ai même pas eu mon droit. Même pour 2200 DA ils ne donnent que 26 jours, pourquoi ?",contraire payer aujourd’hui carte edahabia droit 2200 donner 26 jour,contraire payé aujourd’hui carte edahabia droit 2200 donnent 26 jours,négatif,facturation
L’application My Idoom ne fonctionne pas pour le moment !! Y a-t-il une explication ?;,L’application My Idoom ne fonctionne pas pour le moment !! Y a-t-il une explication ?,L’application My Idoom ne fonctionne pas pour le moment !! Y a-t-il une explication ?,application my idoom fonctionner moment -t il explication,application my idoom fonctionne moment -t -il explication,négatif,problème réseau
"Je n’ai pas de compte CCP et je veux faire un paiement électronique, comment faire ?;","Je n’ai pas de compte CCP et je veux faire un paiement électronique, comment faire ?","Je n’ai pas de compte CCP et je veux faire un paiement électronique, comment faire ?",compte ccp vouloir faire paiement électronique faire,compte ccp veux faire paiement électronique faire,positif,
"Donnez-nous juste la fibre, ce n’est pas compliqué;","Donnez-nous juste la fibre, ce n’est pas compliqué","Donnez-nous juste la fibre, ce n’est pas compliqué",donnez nous fibre compliquer,donnez -nous fibre compliqué,positif,
"J’ai eu 3 jours de bonus Internet en payant avec Baridi Mob, mais j’ai un seul problème : je ne reçois pas ma facture;","J’ai eu 3 jours de bonus Internet en payant avec Baridi Mob, mais j’ai un seul problème : je ne reçois pas ma facture","J’ai eu 3 jours de bonus Internet en payant avec Baridi Mob, mais j’ai un seul problème : je ne reçois pas ma facture",3 jour bonus internet payer baridi mob problème recevoir facture,3 jours bonus internet payant baridi mob problème reçois facture,négatif,problème réseau
Ça fait un an et demi que je paie toutes mes factures (Internet et téléphone) électroniquement et je n’ai jamais eu de bonus;,Ça fait un an et demi que je paie toutes mes factures (Internet et téléphone) électroniquement et je n’ai jamais eu de bonus,Ça fait un an et demi que je paie toutes mes factures (Internet et téléphone) électroniquement et je n’ai jamais eu de bonus,an demi payer facture internet téléphone électroniquement jamais bonus,an demi paie factures internet téléphone électroniquement jamais bonus,négatif,facturation
Installez-nous la fibre;,Installez-nous la fibre,Installez-nous la fibre,installer nous fibre,installez -nous fibre,positif,
"Le problème c’est que le réseau est quasiment inexistant ! En 2024, un quartier à quelques kilomètres seulement de la capitale manque même de 4G;","Le problème c’est que le réseau est quasiment inexistant ! En 2024, un quartier à quelques kilomètres seulement de la capitale manque même de 4G","Le problème c’est que le réseau est quasiment inexistant ! En 2024, un quartier à quelques kilomètres seulement de la capitale manque même de 4G",problème réseau quasiment inexister 2024 quartier kilomètre capitale manqu 4 gramme,problème réseau quasiment inexistant 2024 quartier kilomètres capitale manque 4 g,négatif,problème réseau
Je paie toujours électroniquement et il n’y a jamais de bonus;,Je paie toujours électroniquement et il n’y a jamais de bonus,Je paie toujours électroniquement et il n’y a jamais de bonus,payer électroniquement jamais bonus,paie électroniquement jamais bonus,neutre,
Je paie toujours avec la carte Edahabia et jamais de bonus;,Je paie toujours avec la carte Edahabia et jamais de bonus,Je paie toujours avec la carte Edahabia et jamais de bonus,payer carte edahabia jamais bonus,paie carte edahabia jamais bonus,neutre,
"Salutations à vous, la connexion avec la fibre est un autre monde;","Salutations à vous, la connexion avec la fibre est un autre monde","Salutations à vous, la connexion avec la fibre est un autre monde",salutation connexion fibre monde,salutations connexion fibre monde,positif,
Vous êtes en train de torturer environ 80 % de vos clients qui ont l’ADSL et la 4G avec ces publications;,Vous êtes en train de torturer environ 80 % de vos clients qui ont l’ADSL et la 4G avec ces publications,Vous êtes en train de torturer environ 80 % de vos clients qui ont l’ADSL et la 4G avec ces publications,être train torturer 80 client adsl 4 gramme publication,êtes train torturer 80 clients adsl 4 g publications,négatif,problème réseau
"Pour les abonnés 4G, pas d’augmentation de débit, mais au contraire des coupures et des baisses de débit;","Pour les abonnés 4G, pas d’augmentation de débit, mais au contraire des coupures et des baisses de débit","Pour les abonnés 4G, pas d’augmentation de débit, mais au contraire des coupures et des baisses de débit",abonné 4 gramme augmentation débit contraire coupure baisse débit,abonnés 4 g augmentation débit contraire coupures baisses débit,négatif,problème réseau
"À Bordj El Bahri, nous sommes toujours en retard. À Herraoua et Bordj El Kiffan ils installent la fibre, à Bordj El Bahri c’est seulement chez les privilégiés, les quartiers oubliés attendent toujours;","À Bordj El Bahri, nous sommes toujours en retard. À Herraoua et Bordj El Kiffan ils installent la fibre, à Bordj El Bahri c’est seulement chez les privilégiés, les quartiers oubliés attendent toujours","À Bordj El Bahri, nous sommes toujours en retard. À Herraoua et Bordj El Kiffan ils installent la fibre, à Bordj El Bahri c’est seulement chez les privilégiés, les quartiers oubliés attendent toujours",bordj el bahri être retard herraoua bordj el kiffan installer fibre bordj el bahri privilégié quartier oublier attendre,bordj el bahri sommes retard herraoua bordj el kiffan installent fibre bordj el bahri privilégiés quartiers oubliés attendent,négatif,problème réseau
"Les habitants des zones rurales, les pauvres, personne ne les considère;","Les habitants des zones rurales, les pauvres, personne ne les considère","Les habitants des zones rurales, les pauvres, personne ne les considère",habitant zone rural pauvre considérer,habitants zones rurales pauvres considère,neutre,
Est-il possible de réduire le débit de 15 Mb à 10 Mb sur Idoom Fibre ? Et quelles sont les démarches ?;,Est-il possible de réduire le débit de 15 Mb à 10 Mb sur Idoom Fibre ? Et quelles sont les démarches ?,Est-il possible de réduire le débit de 15 Mb à 10 Mb sur Idoom Fibre ? Et quelles sont les démarches ?,est-il réduire débit 15 mb 10 mb idoom fibre démarche,est-il réduire débit 15 mb 10 mb idoom fibre démarches,positif,
Fournissez au moins des routeurs capables de supporter ce débit;,Fournissez au moins des routeurs capables de supporter ce débit,Fournissez au moins des routeurs capables de supporter ce débit,fournissez routeur capable supporter débit,fournissez routeurs capables supporter débit,positif,
"Et le réseau, que Dieu nous vienne en aide;","Et le réseau, que Dieu nous vienne en aide","Et le réseau, que Dieu nous vienne en aide",réseau dieu venir aide,réseau dieu vienne aide,positif,
"Les gars d’ADSL, vous nous avez tués avec ces 20 Mb;","Les gars d’ADSL, vous nous avez tués avec ces 20 Mb","Les gars d’ADSL, vous nous avez tués avec ces 20 Mb",gars adsl avoir tuer 20 mb,gars adsl avez tués 20 mb,négatif,problème réseau
"Le quatrième jour ça marche, mais le cinquième c’est fini;","Le quatrième jour ça marche, mais le cinquième c’est fini","Le quatrième jour ça marche, mais le cinquième c’est fini",jour marche finir,jour marche fini,positif,
"À El Eulma, la fibre passe juste à côté de notre quartier, on ne comprend pas pourquoi ils ne nous la branchent pas ? À peine 10 mètres de distance, eux ont la fibre et nous toujours avec le cuivre;","À El Eulma, la fibre passe juste à côté de notre quartier, on ne comprend pas pourquoi ils ne nous la branchent pas ? À peine 10 mètres de distance, eux ont la fibre et nous toujours avec le cuivre","À El Eulma, la fibre passe juste à côté de notre quartier, on ne comprend pas pourquoi ils ne nous la branchent pas ? À peine 10 mètres de distance, eux ont la fibre et nous toujours avec le cuivre",el eulma fibre passer côté quartier comprendre branchent peine 10 mètre distance fibre cuivre,el eulma fibre passe côté quartier comprend branchent peine 10 mètres distance fibre cuivre,négatif,problème réseau
La connexion est portée disparue;,La connexion est portée disparue,La connexion est portée disparue,connexion porter disparaître,connexion portée disparue,neutre,
"Dans le quartier Kellaouz, Sharaga, El Kalitous, Alger – le projet de raccordement à la fibre a été finalisé depuis plus de 20 jours, et la commercialisation n’a toujours pas commencé;","Dans le quartier Kellaouz, Sharaga, El Kalitous, Alger – le projet de raccordement à la fibre a été finalisé depuis plus de 20 jours, et la commercialisation n’a toujours pas commencé","Dans le quartier Kellaouz, Sharaga, El Kalitous, Alger – le projet de raccordement à la fibre a été finalisé depuis plus de 20 jours, et la commercialisation n’a toujours pas commencé",quartier kellaouz sharaga el kalitous alger projet raccordement fibre être finaliser 20 jour commercialisation commencer,quartier kellaouz sharaga el kalitous alger projet raccordement fibre été finalisé 20 jours commercialisation commencé,positif,
"J’ai un problème avec l’espace client… quand j’essaie de me connecter, on me dit qu’un lien de confirmation a été envoyé à mon e-mail, mais quand je clique sur le lien, je n’arrive pas à accéder;","J’ai un problème avec l’espace client… quand j’essaie de me connecter, on me dit qu’un lien de confirmation a été envoyé à mon e-mail, mais quand je clique sur le lien, je n’arrive pas à accéder","J’ai un problème avec l’espace client… quand j’essaie de me connecter, on me dit qu’un lien de confirmation a été envoyé à mon e-mail, mais quand je clique sur le lien, je n’arrive pas à accéder",problème espace client essayer connecter lien confirmation être envoyer e-mail clique lien arriver accéder,problème espace client essaie connecter lien confirmation été envoyé e-mail clique lien arrive accéder,négatif,problème réseau
Certaines communes souffrent encore avec l’ADSL… Accélérez le processus;,Certaines communes souffrent encore avec l’ADSL… Accélérez le processus,Certaines communes souffrent encore avec l’ADSL… Accélérez le processus,commune souffrir adsl accélérez processus,communes souffrent adsl accélérez processus,négatif,problème réseau
"Les abonnés 4G souffrent en silence, le débit ne dépasse même pas 1 méga. Trouvez-nous une solution;","Les abonnés 4G souffrent en silence, le débit ne dépasse même pas 1 méga. Trouvez-nous une solution","Les abonnés 4G souffrent en silence, le débit ne dépasse même pas 1 méga. Trouvez-nous une solution",abonné 4 gramme souffrir silence débit dépasser 1 méga-octet trouver nous solution,abonnés 4 g souffrent silence débit dépasse 1 méga trouvez -nous solution,neutre,
"Sidi El Medani, Chiffa, Blida — quand est-ce que la fibre optique sera installée ?;","Sidi El Medani, Chiffa, Blida — quand est-ce que la fibre optique sera installée ?","Sidi El Medani, Chiffa, Blida — quand est-ce que la fibre optique sera installée ?",sidi el medani chiffa blida -ce fibre optique installer,sidi el medani chiffa blida -ce fibre optique installée,négatif,problème réseau
"Bonjour, j’ai un abonnement 20 mégas, et en me connectant à mon compte sur l’espace client, j’ai vu qu’il était possible de passer à 50 mégas VDSL. J’ai effectué la migration avec changement de modem bien sûr, mais quand j’ai contacté un technicien, il m’a dit que l’équipement du répartiteur ne supporte pas le VDSL et qu’il fallait nous consulter avant la migration. La solution serait de revenir à 20 mégas. Pendant ce temps, les offres fibre pleuvent. Merci de prendre cela en compte;","Bonjour, j’ai un abonnement 20 mégas, et en me connectant à mon compte sur l’espace client, j’ai vu qu’il était possible de passer à 50 mégas VDSL. J’ai effectué la migration avec changement de modem bien sûr, mais quand j’ai contacté un technicien, il m’a dit que l’équipement du répartiteur ne supporte pas le VDSL et qu’il fallait nous consulter avant la migration. La solution serait de revenir à 20 mégas. Pendant ce temps, les offres fibre pleuvent. Merci de prendre cela en compte","Bonjour, j’ai un abonnement 20 mégas, et en me connectant à mon compte sur l’espace client, j’ai vu qu’il était possible de passer à 50 mégas VDSL. J’ai effectué la migration avec changement de modem bien sûr, mais quand j’ai contacté un technicien, il m’a dit que l’équipement du répartiteur ne supporte pas le VDSL et qu’il fallait nous consulter avant la migration. La solution serait de revenir à 20 mégas. Pendant ce temps, les offres fibre pleuvent. Merci de prendre cela en compte",bonjour abonnemer 20 méga-octet connecter compte espace client passer 50 mégas vdsl effectuer migration changement modem bien sûr contacter technicien équipemer répartiteur supporter vdsl falloir consulter migration solution revenir 20 mégas temps offre fibr pleuvent prendre compte,bonjour abonnement 20 mégas connectant compte espace client passer 50 mégas vdsl effectué migration changement modem bien sûr contacté technicien équipement répartiteur supporte vdsl fallait consulter migration solution revenir 20 mégas temps offres fibre pleuvent prendre compte,positif,
Nous attendons avec impatience le raccordement de notre cité (Cité 384 logements EPLF Réghaia) à la fibre. Merci de nous informer à ce sujet;,Nous attendons avec impatience le raccordement de notre cité (Cité 384 logements EPLF Réghaia) à la fibre. Merci de nous informer à ce sujet,Nous attendons avec impatience le raccordement de notre cité (Cité 384 logements EPLF Réghaia) à la fibre. Merci de nous informer à ce sujet,attendre impatience raccordement cité cité 384 logement eplf réghaia fibre informer sujet,attendons impatience raccordement cité cité 384 logements eplf réghaia fibre informer sujet,positif,
"Bonjour ! 15 Mo/s c’est très cher pour 2000 DA, merci;","Bonjour ! 15 Mo/s c’est très cher pour 2000 DA, merci","Bonjour ! 15 Mo/s c’est très cher pour 2000 DA, merci",bonjour 15 mo s cher 2000,bonjour 15 mo s cher 2000,positif,
"Je vous ai contacté en privé plusieurs fois, ainsi qu’au 12, sans résultat. Toujours le même message : ‘Votre réclamation sera prise en compte’ sans aucun suivi;","Je vous ai contacté en privé plusieurs fois, ainsi qu’au 12, sans résultat. Toujours le même message : ‘Votre réclamation sera prise en compte’ sans aucun suivi","Je vous ai contacté en privé plusieurs fois, ainsi qu’au 12, sans résultat. Toujours le même message : ‘Votre réclamation sera prise en compte’ sans aucun suivi",contacter privé fois 12 résultat message réclamation prise compte aucun suivi,contacté privé fois 12 résultat message réclamation prise compte aucun suivi,neutre,
"Je paie pour 20 mégas, je reçois 10 mégas;","Je paie pour 20 mégas, je reçois 10 mégas","Je paie pour 20 mégas, je reçois 10 mégas",payer 20 méga-octet recevoir 10 méga,paie 20 mégas reçois 10 mégas,positif,
L’ADSL : vu;,L’ADSL : vu,L’ADSL : vu,adsl,adsl,positif,
"Vous nous avez vraiment dégoûtés avec cette fibre. Pensez un peu aux clients ADSL, ils sont les plus nombreux;","Vous nous avez vraiment dégoûtés avec cette fibre. Pensez un peu aux clients ADSL, ils sont les plus nombreux","Vous nous avez vraiment dégoûtés avec cette fibre. Pensez un peu aux clients ADSL, ils sont les plus nombreux",avoir vraiment dégoûter fibre penser client adsl,avez vraiment dégoûtés fibre pensez clients adsl,négatif,problème réseau
Espérons qu’en 2030 on aura peut-être la fibre à Oran… l’espoir fait vivre chez Algérie Télécom;,Espérons qu’en 2030 on aura peut-être la fibre à Oran… l’espoir fait vivre chez Algérie Télécom,Espérons qu’en 2030 on aura peut-être la fibre à Oran… l’espoir fait vivre chez Algérie Télécom,espéron 2030 peut-être fibre oran espoir vivr algérie télécom,espérons 2030 peut-être fibre oran espoir vivre algérie télécom,positif,
"Moi j’ai constaté le contraire, et quand j’ai demandé la raison, aucune réponse;","Moi j’ai constaté le contraire, et quand j’ai demandé la raison, aucune réponse","Moi j’ai constaté le contraire, et quand j’ai demandé la raison, aucune réponse",constater contraire demander raison aucun réponse,constaté contraire demandé raison aucune réponse,négatif,autre
"Savez-vous que la rue Ali Haddad, immeuble El Zaâtcha, juste en face de la présidence de la République à El Mouradia, et pas loin de la télévision nationale, n’est toujours pas équipée de fibre ? Je voudrais savoir où est le problème;","Savez-vous que la rue Ali Haddad, immeuble El Zaâtcha, juste en face de la présidence de la République à El Mouradia, et pas loin de la télévision nationale, n’est toujours pas équipée de fibre ? Je voudrais savoir où est le problème","Savez-vous que la rue Ali Haddad, immeuble El Zaâtcha, juste en face de la présidence de la République à El Mouradia, et pas loin de la télévision nationale, n’est toujours pas équipée de fibre ? Je voudrais savoir où est le problème",savez vous rue ali haddad immeuble el zaâtcha face présidence république el mouradia loin télévision national équiper fibre vouloir savoir problème,savez -vous rue ali haddad immeuble el zaâtcha face présidence république el mouradia loin télévision nationale équipée fibre voudrais savoir problème,négatif,problème réseau
"Ce qu’ils disent c’est peu… j’ai pris l’offre 750 Idoom Fix, ils m’ont donné seulement 172 minutes;","Ce qu’ils disent c’est peu… j’ai pris l’offre 750 Idoom Fix, ils m’ont donné seulement 172 minutes","Ce qu’ils disent c’est peu… j’ai pris l’offre 750 Idoom Fix, ils m’ont donné seulement 172 minutes",dire prendre offrir 750 idoom fix donner 172 minute,disent pris offre 750 idoom fix donné 172 minutes,positif,
Faites-la nous parvenir et ce sera plus simple;,Faites-la nous parvenir et ce sera plus simple,Faites-la nous parvenir et ce sera plus simple,faites parvenir simple,faites parvenir simple,positif,
"Vos 1500 DA, gardez-les;","Vos 1500 DA, gardez-les","Vos 1500 DA, gardez-les",1500 garder,1500 gardez,négatif,facturation
"2000 DA partis en fumée via l’application E-Paiement, zéro;","2000 DA partis en fumée via l’application E-Paiement, zéro","2000 DA partis en fumée via l’application E-Paiement, zéro",2000 parti fumée application e-paiement zéro,2000 partis fumée application e-paiement zéro,négatif,problème réseau
On perd l’ADSL et il revient quand il veut;,On perd l’ADSL et il revient quand il veut,On perd l’ADSL et il revient quand il veut,perdre adsl revenir vouloir,perd adsl revient veut,positif,
"Les abonnés Idoom 4G LTE souffrent en silence : pas d’augmentation de débit, pas de réduction de prix;","Les abonnés Idoom 4G LTE souffrent en silence : pas d’augmentation de débit, pas de réduction de prix","Les abonnés Idoom 4G LTE souffrent en silence : pas d’augmentation de débit, pas de réduction de prix",abonné idoom 4 gramme lte souffrir silence augmentation débit réduction prix,abonnés idoom 4 g lte souffrent silence augmentation débit réduction prix,neutre,
Faites basculer les abonnés 15M et 20M vers une nouvelle offre 30M pour 2200 DA. Vous y gagnerez;,Faites basculer les abonnés 15M et 20M vers une nouvelle offre 30M pour 2200 DA. Vous y gagnerez,Faites basculer les abonnés 15M et 20M vers une nouvelle offre 30M pour 2200 DA. Vous y gagnerez,faites basculer abonné 15 m 20 m nouveau offrir 30 m 2200 gagner,faites basculer abonnés 15 m 20 m nouvelle offre 30 m 2200 gagnerez,positif,
Où sont les nouvelles offres ?;,Où sont les nouvelles offres ?,Où sont les nouvelles offres ?,nouveau offre,nouvelles offres,positif,
"À Illizi, quartier 20 Août, on n’a toujours pas vu la fibre, on est encore à l’ADSL;","À Illizi, quartier 20 Août, on n’a toujours pas vu la fibre, on est encore à l’ADSL","À Illizi, quartier 20 Août, on n’a toujours pas vu la fibre, on est encore à l’ADSL",illizi quartier 20 août fibre adsl,illizi quartier 20 août fibre adsl,neutre,
"Ça fait un mois que je ne peux pas accéder à l’espace client. C’est stressant, et en plus on me dit que ce compte n’existe pas;","Ça fait un mois que je ne peux pas accéder à l’espace client. C’est stressant, et en plus on me dit que ce compte n’existe pas","Ça fait un mois que je ne peux pas accéder à l’espace client. C’est stressant, et en plus on me dit que ce compte n’existe pas",mois accéder espace client stressant compte exister,mois accéder espace client stressant compte existe,négatif,problème réseau
Quel est le problème avec les abonnés sous convention ?;,Quel est le problème avec les abonnés sous convention ?,Quel est le problème avec les abonnés sous convention ?,problème abonné convention,problème abonnés convention,négatif,problème réseau
Continuez !!! Vous êtes sur la bonne voie.;,Continuez !!! Vous êtes sur la bonne voie.,Continuez !!! Vous êtes sur la bonne voie.,continuez être bon voie,continuez êtes bonne voie,positif,
"Grande souffrance à la ville d'El Aouinet, Tébessa. Coupures massives de la fibre, une solution ?;","Grande souffrance à la ville d'El Aouinet, Tébessa. Coupures massives de la fibre, une solution ?","Grande souffrance à la ville d'El Aouinet, Tébessa. Coupures massives de la fibre, une solution ?",grand souffrance ville el aouinet tébessa coupure massif fibre solution,grande souffrance ville el aouinet tébessa coupures massives fibre solution,négatif,problème réseau
Connexion lente;,Connexion lente,Connexion lente,connexion lent,connexion lente,négatif,problème réseau
"Nous avons demandé un modem fibre depuis des mois, et ils nous ont ramené un ancien, inutile;","Nous avons demandé un modem fibre depuis des mois, et ils nous ont ramené un ancien, inutile","Nous avons demandé un modem fibre depuis des mois, et ils nous ont ramené un ancien, inutile",demander modem fibr mois ramener ancien inutile,demandé modem fibre mois ramené ancien inutile,négatif,problème réseau
Le réseau le plus faible d'Algérie. Une vidéo de 5 minutes met une heure à charger;,Le réseau le plus faible d'Algérie. Une vidéo de 5 minutes met une heure à charger,Le réseau le plus faible d'Algérie. Une vidéo de 5 minutes met une heure à charger,réseau faible algérie vidéo 5 minute mettre heure charger,réseau faible algérie vidéo 5 minutes met heure charger,négatif,problème réseau
